domain,competition,bucket,rank,path,suffix,sha256,size_bytes,code_chars,markdown_chars,code_lines,code_cells,markdown_cells,good_hits,bad_hits,score,quality,reasons
Audio,birdclef-2021,10pct,34,Audio/birdclef-2021/rank34_10pct/birdclef23-pretraining-is-all-you-need-train.ipynb,.ipynb,4b22dba42600eeded2a989e9be0fc88007be98fe9eebc669d16e3d73d2b6add4,94689,53405,12023,998,50,59,8,0,73,strong,
Audio,birdclef-2021,1st,16,Audio/birdclef-2021/rank16_1st/kneroma-secondary-labels.ipynb,.ipynb,c5319ff352cd6e7e06d982055ad25cc5b798ce125d2038aa36470449f8dce3c2,17399,8703,646,214,33,9,5,0,72,strong,
Audio,birdclef-2021,20pct,130,Audio/birdclef-2021/rank130_20pct/birdclef-2020-2025-all-training-extra-npy-dataset.ipynb,.ipynb,afae84a51c019bd1b4363275051e99dac78d1029f08a423c4591b90bbd61e614,16882,8105,300,133,20,2,1,0,43,usable,
Audio,birdclef-2021,40pct,295,Audio/birdclef-2021/rank295_40pct/birdclef-21-22-23-data-cleaning.ipynb,.ipynb,c8aa4a787889df34649204906c5ee4738a32b555498d37e10427e315e6fe1dd9,21613,5980,3504,97,29,15,1,0,43,usable,
Audio,birdclef-2021,70pct,398,Audio/birdclef-2021/rank398_70pct/clean-fast-simple-bird-identifier-20210502.ipynb,.ipynb,1ec6dddd8ddf5c72cf3dd61cde5c8fb9c01fa563a8668b36c08e8b35716cda8e,17032,8156,646,206,35,9,5,0,67,strong,
Audio,birdclef-2022,10pct,80,Audio/birdclef-2022/rank80_10pct/hawaii-train-nhah.ipynb,.ipynb,1a4cb603cf92c3fa0ae28385faf3a2a5c7cebda79ed9b26a73d15d8f3f7c38ba,38461,35283,0,781,20,0,5,0,61,strong,
Audio,birdclef-2022,1st,1,Audio/birdclef-2022/rank1_1st/birdnet-inference.ipynb,.ipynb,debcebbb49dae19404e880fdb4b75f5a1030369d598c67d7e71df4ce134f114b,4595,1697,829,27,12,3,2,0,38,usable,
Audio,birdclef-2022,20pct,175,Audio/birdclef-2022/rank175_20pct/birdclef2022pytorch-tpu-doesnt-work-what-is-wrong.ipynb,.ipynb,18337bfe4e89d0ff4abb325c5228e74decea134b03008acd3723c5be68d62980,48303,36086,721,847,29,9,5,0,67,strong,
Audio,birdclef-2022,40pct,331,Audio/birdclef-2022/rank331_40pct/birdclef-random-guess-baseline.ipynb,.ipynb,aff5076d7702e999d2ec98f468a8b830b82d2c18082579c4556ab33a4b31a27a,5252,2360,90,28,6,1,2,1,21,weak,bad_keyword
Audio,birdclef-2022,70pct,555,Audio/birdclef-2022/rank555_70pct/birdclef2022-simple-starter-code-error-analysis.ipynb,.ipynb,594f7e31211f2f5bdac14a6d786d0ba60c06c9384b56f6b7ac5a119957f663de,14768,4900,2372,101,19,8,2,1,37,usable,bad_keyword
Audio,birdclef-2023,10pct,113,Audio/birdclef-2023/rank113_10pct/google-bird-model-embeddings-predictions-score.ipynb,.ipynb,16a69a2d54637ac53252011de1e27c3b1836019379647e640c9beefab4d96c18,11520,6165,166,134,12,4,3,0,55,strong,
Audio,birdclef-2023,1st,2,Audio/birdclef-2023/rank2_1st/bird-clef-2023-inference-v1.ipynb,.ipynb,b9a4ec9b368f94d2f418b6ad55ad98ebd6f288942612e2c7e4713c635b75a329,26003,13138,117,204,31,9,2,0,54,strong,
Audio,birdclef-2023,20pct,197,Audio/birdclef-2023/rank197_20pct/baseline-clf.ipynb,.ipynb,7e77c0297404440fcc406bc7563e42f20ebf899990028286fdfb14d3c5a5e8ea,43746,15166,5893,362,32,24,5,0,67,strong,
