domain,competition,bucket,rank,path,suffix,sha256,size_bytes,code_chars,markdown_chars,code_lines,code_cells,markdown_cells,good_hits,bad_hits,score,quality,reasons
Audio,birdclef-2021,1st,16,Audio/birdclef-2021/rank16_1st/kneroma-secondary-labels.ipynb,.ipynb,c5319ff352cd6e7e06d982055ad25cc5b798ce125d2038aa36470449f8dce3c2,17399,8703,646,214,33,9,5,0,72,strong,
Audio,birdclef-2021,10pct,34,Audio/birdclef-2021/rank34_10pct/birdclef23-pretraining-is-all-you-need-train.ipynb,.ipynb,4b22dba42600eeded2a989e9be0fc88007be98fe9eebc669d16e3d73d2b6add4,94689,53405,12023,998,50,59,8,0,73,strong,
Audio,birdclef-2021,20pct,130,Audio/birdclef-2021/rank130_20pct/birdclef-2020-2025-all-training-extra-npy-dataset.ipynb,.ipynb,afae84a51c019bd1b4363275051e99dac78d1029f08a423c4591b90bbd61e614,16882,8105,300,133,20,2,1,0,43,usable,
Audio,birdclef-2021,40pct,295,Audio/birdclef-2021/rank295_40pct/birdclef-21-22-23-data-cleaning.ipynb,.ipynb,c8aa4a787889df34649204906c5ee4738a32b555498d37e10427e315e6fe1dd9,21613,5980,3504,97,29,15,1,0,43,usable,
Audio,birdclef-2021,70pct,398,Audio/birdclef-2021/rank398_70pct/clean-fast-simple-bird-identifier-20210502.ipynb,.ipynb,1ec6dddd8ddf5c72cf3dd61cde5c8fb9c01fa563a8668b36c08e8b35716cda8e,17032,8156,646,206,35,9,5,0,67,strong,
Audio,birdclef-2022,1st,1,Audio/birdclef-2022/rank1_1st/birdnet-inference.ipynb,.ipynb,debcebbb49dae19404e880fdb4b75f5a1030369d598c67d7e71df4ce134f114b,4595,1697,829,27,12,3,2,0,38,usable,
Audio,birdclef-2022,10pct,80,Audio/birdclef-2022/rank80_10pct/hawaii-train-nhah.ipynb,.ipynb,1a4cb603cf92c3fa0ae28385faf3a2a5c7cebda79ed9b26a73d15d8f3f7c38ba,38461,35283,0,781,20,0,5,0,61,strong,
Audio,birdclef-2022,20pct,175,Audio/birdclef-2022/rank175_20pct/birdclef2022pytorch-tpu-doesnt-work-what-is-wrong.ipynb,.ipynb,18337bfe4e89d0ff4abb325c5228e74decea134b03008acd3723c5be68d62980,48303,36086,721,847,29,9,5,0,67,strong,
Audio,birdclef-2022,40pct,331,Audio/birdclef-2022/rank331_40pct/birdclef-random-guess-baseline.ipynb,.ipynb,aff5076d7702e999d2ec98f468a8b830b82d2c18082579c4556ab33a4b31a27a,5252,2360,90,28,6,1,2,1,21,weak,bad_keyword
Audio,birdclef-2022,70pct,555,Audio/birdclef-2022/rank555_70pct/birdclef2022-simple-starter-code-error-analysis.ipynb,.ipynb,594f7e31211f2f5bdac14a6d786d0ba60c06c9384b56f6b7ac5a119957f663de,14768,4900,2372,101,19,8,2,1,37,usable,bad_keyword
Audio,birdclef-2023,1st,2,Audio/birdclef-2023/rank2_1st/bird-clef-2023-inference-v1.ipynb,.ipynb,b9a4ec9b368f94d2f418b6ad55ad98ebd6f288942612e2c7e4713c635b75a329,26003,13138,117,204,31,9,2,0,54,strong,
Audio,birdclef-2023,10pct,113,Audio/birdclef-2023/rank113_10pct/google-bird-model-embeddings-predictions-score.ipynb,.ipynb,16a69a2d54637ac53252011de1e27c3b1836019379647e640c9beefab4d96c18,11520,6165,166,134,12,4,3,0,55,strong,
Audio,birdclef-2023,20pct,197,Audio/birdclef-2023/rank197_20pct/baseline-clf.ipynb,.ipynb,7e77c0297404440fcc406bc7563e42f20ebf899990028286fdfb14d3c5a5e8ea,43746,15166,5893,362,32,24,5,0,67,strong,
Audio,birdclef-2023,40pct,437,Audio/birdclef-2023/rank437_40pct/notedta-2.ipynb,.ipynb,1e5960154270d3736ee70e5d380618db6bd6126d55c79aaa584ec5055dffb56e,17212,11332,0,242,13,0,2,0,43,usable,
Audio,birdclef-2023,70pct,779,Audio/birdclef-2023/rank779_70pct/transform-yamnet-log-mel-to-tfrecord.ipynb,.ipynb,5b5b6bd9e86ca15f175c3f23ce227053de1cff9d947a664889b904202dd31c59,15413,7651,0,164,23,0,4,0,55,strong,
Audio,freesound-audio-tagging-2019,1st,100,Audio/freesound-audio-tagging-2019/rank100_1st/cnn-2d-basic-solution-powered-by-fast-ai.ipynb,.ipynb,0aff22834e04426098c2f827d2287861e7b5e708bed6bf1256d1391e83b2db13,19301,13196,2517,251,23,9,4,0,66,strong,
Audio,freesound-audio-tagging-2019,10pct,43,Audio/freesound-audio-tagging-2019/rank43_10pct/sample-submission-all-random.ipynb,.ipynb,b05505b6748b253b9498fabe6503b70aafacf360612426617dad4a7dd46aba6f,14636,329,0,7,2,0,1,3,-67,reject,too_short;bad_keyword;submission_only
Audio,freesound-audio-tagging-2019,20pct,100,Audio/freesound-audio-tagging-2019/rank100_20pct/cnn-2d-basic-solution-powered-by-fast-ai.ipynb,.ipynb,0aff22834e04426098c2f827d2287861e7b5e708bed6bf1256d1391e83b2db13,19301,13196,2517,251,23,9,4,0,61,strong,
Audio,freesound-audio-tagging-2019,40pct,173,Audio/freesound-audio-tagging-2019/rank173_40pct/fat-2019-80-place-public-lb-solution-lwlrap-70-2.ipynb,.ipynb,b8099f57eecce289efdcd5b29b28bf7bcab4c3ee5b4832a781315afcdbb96f72,15751,11920,886,227,19,4,8,0,73,strong,
Audio,freesound-audio-tagging-2019,70pct,275,Audio/freesound-audio-tagging-2019/rank275_70pct/simple-2d-cnn-classifier-with-pytorch.ipynb,.ipynb,7b5e42a7a06bfd5607125e79c14e6ae54ce33fab52bed8edcac3e246240d9f4e,17483,13790,65,303,25,6,4,0,61,strong,
Audio,rfcx-species-audio-detection,1st,3,Audio/rfcx-species-audio-detection/rank3_1st/rfcx-minimal.ipynb,.ipynb,6b5394513baa1543ae1fc7e7f05ca4c10939ff3c50162a91dc4abd155036c3f3,36219,28024,1635,608,17,6,6,0,78,strong,
Audio,rfcx-species-audio-detection,10pct,103,Audio/rfcx-species-audio-detection/rank103_10pct/inverse-stft.ipynb,.ipynb,2aabf9310747c8c785e163d3b97afec4d66eb71b0acc3b5e0113689ebd248fa0,17754,7795,2757,204,16,13,3,0,55,strong,
Audio,rfcx-species-audio-detection,20pct,181,Audio/rfcx-species-audio-detection/rank181_20pct/rainforest-write-up.ipynb,.ipynb,49ef349d2856b6c55caf5298b8122489565e8ba8d6ab73a3abeddb03e0726569,25253,20309,2648,392,9,8,5,2,43,usable,bad_keyword
Audio,rfcx-species-audio-detection,40pct,452,Audio/rfcx-species-audio-detection/rank452_40pct/rfcx-train-resnet50-with-tpu.ipynb,.ipynb,dcda42fb00bf752f0ab272a7a5cdebbd3d5699c6e3f5d6c700637c1a21fa61ec,33737,26693,894,577,42,15,6,0,73,strong,
Audio,rfcx-species-audio-detection,70pct,575,Audio/rfcx-species-audio-detection/rank575_70pct/recensementoiseauxamazonie.ipynb,.ipynb,dc1337a7b125a453750b20cb65ad07f9dd76800b72bec89ca7da424c5c8c54bf,41892,31927,2564,630,17,15,5,0,67,strong,
CV,cassava-leaf-disease-classification,1st,1,CV/cassava-leaf-disease-classification/rank1_1st/cassava-leaf-disease-resnext50.ipynb,.ipynb,852806da7b30b1d2d478a72d18715dea91fc1ec8b8f85a1d05debc016e0842f5,16162,12987,1119,296,11,1,4,0,66,strong,
CV,cassava-leaf-disease-classification,10pct,385,CV/cassava-leaf-disease-classification/rank385_10pct/analyze-your-model-performance-by-confusion-matrix.ipynb,.ipynb,1c0d7e8f284f0cc0c2b3ec450e7a76c2dcb85852c108c3e84411d59f2b627e18,2782,1051,73,21,11,2,1,0,27,usable,
CV,cassava-leaf-disease-classification,20pct,780,CV/cassava-leaf-disease-classification/rank780_20pct/efn-resnext-vit-ensemble-inference.ipynb,.ipynb,20c2cb9f3f20d5b557297e78832a57a6ec9a16d92ec7dd72f0639a6043bdeb33,9469,6979,438,160,10,11,4,0,61,strong,
CV,cassava-leaf-disease-classification,40pct,1556,CV/cassava-leaf-disease-classification/rank1556_40pct/very-simple-notebook-keras-densenet-gpu.ipynb,.ipynb,12f4e51d7b4602b81922657228003dede77202d28a41e244ad1fa51ba5a0e8a7,6761,4247,90,114,17,6,5,0,67,strong,
CV,cassava-leaf-disease-classification,70pct,2727,CV/cassava-leaf-disease-classification/rank2727_70pct/cassava-leaf-disease.ipynb,.ipynb,3b2db449dc854801a2dc25b0ba8523805a143cccbf5d33b449bea113cbabf5bc,13028,6627,2454,136,26,15,5,0,67,strong,
