domain,competition,bucket,rank,path,suffix,sha256,size_bytes,code_chars,markdown_chars,code_lines,code_cells,markdown_cells,good_hits,bad_hits,score,quality,reasons
Audio,birdsong-recognition,10pct,94,Audio/birdsong-recognition/rank94_10pct/birdclef24-pretraining-is-all-you-need.ipynb,.ipynb,7c4329b91cc2af0b95e82b4b9ae7ed89bfea36e8d4551a95720648580bd8b898,119298,73735,12558,1422,59,63,8,0,73,strong,
Audio,birdsong-recognition,1st,2,Audio/birdsong-recognition/rank2_1st/birdcall-resnestsed-effnet-b0-ema-all-th04.ipynb,.ipynb,f31bfdd7efa8588b4fbc0e47b922e8ee73b5234393d5c05aadedf1d118165740,90225,83663,156,1678,29,11,3,0,60,strong,
CV,digit-recognizer,10pct,169,CV/digit-recognizer/rank169_10pct/digit-recognizer-cnn.ipynb,.ipynb,1aae42c409b7fed7c30b254413165fbdd03f6a1d13e12c6b659ef893630b4482,13079,5477,461,140,14,13,7,0,73,strong,
CV,digit-recognizer,1st,7,CV/digit-recognizer/rank7_1st/digit-recognizer-cnn-public-mnist-variants.ipynb,.ipynb,aa3a8bdc3b44131fb893a0cea3d4c17d57af8b6790d31d73cad59ab132991554,9236,7807,459,192,5,1,5,0,64,strong,
CV,digit-recognizer,1st,4,CV/digit-recognizer/rank4_1st/mnist-1-nn-with-pytorch.ipynb,.ipynb,1d9a781e637f90d191099dbcd0b1b28c43f47d660760b132aeb77b8fbb603b1b,2949,1648,0,37,1,0,2,0,32,usable,
CV,digit-recognizer,20pct,331,CV/digit-recognizer/rank331_20pct/digit-recognizer.ipynb,.ipynb,705660311977bf8d5033cd7f284e09a5920dd1627b7af9b2f3b5e463cd480363,13427,4721,2742,110,12,14,7,1,61,strong,bad_keyword
CV,digit-recognizer,40pct,548,CV/digit-recognizer/rank548_40pct/sine-multi-scale-cnn-99-1399-params-11-class.ipynb,.ipynb,b3819c1e22cac4125837ad77c706119dc95cac3b9d4ba0b6f407ce40fa69a419,15597,10461,0,231,11,0,4,0,55,strong,
CV,digit-recognizer,40pct,568,CV/digit-recognizer/rank568_40pct/sine-multi-scale-cnn-99-1399-params-11-class.ipynb,.ipynb,b3819c1e22cac4125837ad77c706119dc95cac3b9d4ba0b6f407ce40fa69a419,15597,10461,0,231,11,0,4,0,55,strong,
CV,digit-recognizer,40pct,561,CV/digit-recognizer/rank561_40pct/sine-multi-scale-cnn-99-1399-params-11-class.ipynb,.ipynb,b3819c1e22cac4125837ad77c706119dc95cac3b9d4ba0b6f407ce40fa69a419,15597,10461,0,231,11,0,4,0,55,strong,
CV,digit-recognizer,70pct,1062,CV/digit-recognizer/rank1062_70pct/digitrecognizer.ipynb,.ipynb,d2bd1c31682298e692470d0fa1655eb21d7454de54b80df2bdc041a9ebe06f94,7678,3615,356,79,7,6,7,0,65,strong,
CV,digit-recognizer,70pct,1075,CV/digit-recognizer/rank1075_70pct/softmax.ipynb,.ipynb,58a8738323ad74468b6d57afa0a090c3fb3ffb7999048b285d501c9ba5c00210,11418,2547,0,73,35,0,2,0,35,usable,
